tarot_id,is_upright,message1,message2
1,1,當你站在全新起點時，真正的冒險不僅僅是天真無畏，而是對未知充滿信任，並勇於重新定義自我。,建置中(大牌正位message2)
2,1,在探求內在潛能之際，創造力不僅源自技巧，而是將思維與現實重新編織的過程，讓夢想逐步成形。,建置中(大牌正位message2)
3,1,當答案隱藏在沉默的內心深處時，學會傾聽那不經言說的直覺，從中發現真理。,建置中(大牌正位message2)
4,1,面對生命中的豐盛與美好，外在的華麗並非終極，真正的滋養來自內心溫柔與無私的關愛。,建置中(大牌正位message2)
5,1,在追求秩序與自我主宰的路上，真正的領導力不在於獨斷，而是在責任中贏得他人信賴與共鳴。,建置中(大牌正位message2)
6,1,權威並不是單單是「主體性」，而是來自他人的支持與推崇。,建置中(大牌正位message2)
7,1,當選擇與連結成為人生命題時，真摯的關係不僅依賴激情，更需以理解與成長為基石，共築心靈的契約。,建置中(大牌正位message2)
8,1,面對前行路上的阻礙，堅定的意志和內在的平衡，才是突破矛盾與迎向勝利的真正動力。,建置中(大牌正位message2)
9,1,在遭遇內心挑戰之際，真正的勇氣並非毫無畏懼，而是在柔和中展現超越困境的堅韌與溫柔。,建置中(大牌正位message2)
10,1,當世界喧囂讓你迷失方向，在孤獨與反思中尋找內在光芒，從沉靜中汲取深邃的智慧。,建置中(大牌正位message2)
11,1,討論問題，我們要先問過去——你盤根錯節的過去、你遭遇的創傷、你被永恆暫停的故事情節，我們才有可能來到「現在」。,建置中(大牌正位message2)
12,1,在理性思考和評判之外，以柔和和包容的方式對待世界的態度。,建置中(大牌正位message2)
13,1,當習以為常的視角無法解答疑惑時，轉換觀點、放下固有框架，才能在逆境中發現全新的可能性。,建置中(大牌正位message2)
14,1,在一個階段告一段落之際，結束並非滅亡，而是一個必要的轉換，為新生鋪設無限可能的道路。,建置中(大牌正位message2)
15,1,面對生活中各種矛盾與過度，只有在適度與融合之中，才能找到心靈與現實間的和諧共鳴。,建置中(大牌正位message2)
16,1,當束縛讓生活不自由，真正的解脫不在於逃避，而是勇敢面對並超越內在的自我設限。,建置中(大牌正位message2)
17,1,在舊有結構轟然崩塌的瞬間，毀滅中蘊含重生的契機，唯有打破錯誤基石，才能迎來全新的重建。,建置中(大牌正位message2)
18,1,當迷茫與失落籠罩心頭，期盼與夢想從未遠離，點點星光永恆為你指引。,建置中(大牌正位message2)
19,1,在真相隱於層層迷霧之中時，唯有正視這片朦朧，才能發現真實的自我。,建置中(大牌正位message2)
20,1,當晨光灑落大地，光明與熱情不僅驅散黑暗，更點燃生命中無盡的活力與喜悅。,建置中(大牌正位message2)
21,1,當內心召喚響徹靈魂深處時，真正的覺醒源於對過往的深刻反思，並以全新的承諾迎向未來的重生。,建置中(大牌正位message2)
22,1,完成並非終點，而是一個全新循環的開始，邀請你與宇宙共同編織更廣闊的未來。,建置中(大牌正位message2)
1,0,建置中(大牌逆位message1)...,建置中(大牌逆位message2)...
2,0,建置中(大牌逆位message1)...,建置中(大牌逆位message2)...
3,0,建置中(大牌逆位message1)...,建置中(大牌逆位message2)...
4,0,建置中(大牌逆位message1)...,建置中(大牌逆位message2)...
5,0,建置中(大牌逆位message1)...,建置中(大牌逆位message2)...
6,0,建置中(大牌逆位message1)...,建置中(大牌逆位message2)...
7,0,建置中(大牌逆位message1)...,建置中(大牌逆位message2)...
8,0,建置中(大牌逆位message1)...,建置中(大牌逆位message2)...
9,0,建置中(大牌逆位message1)...,建置中(大牌逆位message2)...
10,0,建置中(大牌逆位message1)...,建置中(大牌逆位message2)...
11,0,建置中(大牌逆位message1)...,建置中(大牌逆位message2)...
12,0,建置中(大牌逆位message1)...,建置中(大牌逆位message2)...
13,0,建置中(大牌逆位message1)...,建置中(大牌逆位message2)...
14,0,建置中(大牌逆位message1)...,建置中(大牌逆位message2)...
15,0,建置中(大牌逆位message1)...,建置中(大牌逆位message2)...
16,0,建置中(大牌逆位message1)...,建置中(大牌逆位message2)...
17,0,建置中(大牌逆位message1)...,建置中(大牌逆位message2)...
18,0,建置中(大牌逆位message1)...,建置中(大牌逆位message2)...
19,0,建置中(大牌逆位message1)...,建置中(大牌逆位message2)...
20,0,建置中(大牌逆位message1)...,建置中(大牌逆位message2)...
21,0,建置中(大牌逆位message1)...,建置中(大牌逆位message2)...
22,0,建置中(大牌逆位message1)...,建置中(大牌逆位message2)...
